비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 유통단지로 45대구유통단지 전자관","대구광역시","AC완속","대구시_대구유통단지 전자관",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 유통단지로 45대구유통단지 전자관","대구광역시","AC완속","대구시_대구유통단지 전자관",3
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 유통단지로 45대구유통단지 전자관","대구광역시","AC완속","대구시_대구유통단지 전자관",4
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 유통단지로 45대구유통단지 전자관","대구광역시","AC완속","대구시_대구유통단지 전자관",5
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 노원동로 2","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구은행 3공단영업부지점",1
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 달구벌대로 2310대구은행 본점 지상주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구은행 본점",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 아양로 2","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구은행 신암동지점",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 월배로 109","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구은행 월배지점",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 성서공단로 46-17대구테크노파크 신기술산업지원센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구테크노파크 신기술산업지원센터",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 관문시장4길 53대명11동 행정복지센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_대명11동 행정복지센터",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 명덕로32길 30","대구광역시","DC차데모+AC3상+DC콤보","대구시_대명2동 행정복지센터",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 명덕로20길 115","대구광역시","DC차데모+AC3상+DC콤보","대구시_대명3동 행정복지센터",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 두류공원로20길 19","대구광역시","DC차데모+AC3상+DC콤보","대구시_대명4동 행정복지센터",1
"","중구","대구환경공단","24시간 이용가능","","대구광역시 중구 대봉로47길 31대봉2동 주민센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_대봉2동 주민센터",1
"","중구","대구환경공단","24시간 이용가능","","대구광역시 중구 달구벌대로389길 50","대구광역시","DC차데모+AC3상+DC콤보","대구시_대신동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 대현남로5길 18대현동 행정복지센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_대현동 행정복지센터",1
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 팔공로24길 71(도동 3-22)","대구광역시","DC차데모+AC3상+DC콤보","대구시_도평동 공영주차장",1
"","달서구","대구환경공단","09:00~18:00","","대구광역시 달서구 야외음악당로39길 24대구시_두류3동","대구광역시","DC차데모+AC3상+DC콤보","대구시_두류3동",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 침산로 153","대구광역시","DC차데모+AC3상+DC콤보","대구시_명성푸르지오",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 침산로 153","대구광역시","AC완속","대구시_명성푸르지오",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 침산로 153","대구광역시","AC완속","대구시_명성푸르지오",3
